date,value
2012-08-20,1
2012-08-21,1
2012-08-22,1
2012-08-23,1
2012-08-24,1
2012-08-25,1
2012-08-26,1
2012-08-27,1
2012-08-28,1
2012-08-29,2
2012-08-30,2
2012-08-31,2
2012-09-01,3
2012-09-02,3
2012-09-03,3
2012-09-04,3
2012-09-05,8
2012-09-06,10
2012-09-07,16
2012-09-08,17
2012-09-09,17
2012-09-10,22
2012-09-11,23
2012-09-12,27
2012-09-13,29
2012-09-14,30
2012-09-15,28
2012-09-16,32
2012-09-17,35
2012-09-18,35
2012-09-19,41
2012-09-20,42
2012-09-21,48
2012-09-22,49
2012-09-23,54
2012-09-24,60
2012-09-25,57
2012-09-26,58
2012-09-27,57
2012-09-28,58
2012-09-29,57
2012-09-30,60
2012-10-01,61
2012-10-02,54
2012-10-03,52
2012-10-04,53
2012-10-05,52
2012-10-06,48
2012-10-07,50
2012-10-08,53
2012-10-09,57
2012-10-10,63
2012-10-11,64
2012-10-12,61
2012-10-13,52
2012-10-14,55
2012-10-15,54
2012-10-16,53
2012-10-17,49
2012-10-18,47
2012-10-19,45
2012-10-20,43
2012-10-21,44
2012-10-22,45
2012-10-23,49
2012-10-24,47
2012-10-25,49
2012-10-26,47
2012-10-27,46
2012-10-28,49
2012-10-29,49
2012-10-30,49
2012-10-31,53
2012-11-01,52
2012-11-02,48
2012-11-03,46
2012-11-04,51
2012-11-05,54
2012-11-06,53
2012-11-07,53
2012-11-08,53
2012-11-09,49
2012-11-10,49
2012-11-11,48
2012-11-12,50
2012-11-13,50
2012-11-14,51
2012-11-15,48
2012-11-16,47
2012-11-17,42
2012-11-18,38
2012-11-19,39
2012-11-20,40
2012-11-21,41
2012-11-22,41
2012-11-23,41
2012-11-24,42
2012-11-25,43
2012-11-26,49
2012-11-27,52
2012-11-28,57
2012-11-29,57
2012-11-30,57
2012-12-01,55
2012-12-02,52
2012-12-03,56
2012-12-04,58
2012-12-05,57
2012-12-06,54
2012-12-07,55
2012-12-08,48
2012-12-09,48
2012-12-10,48
2012-12-11,48
2012-12-12,50
2012-12-13,46
2012-12-14,44
2012-12-15,38
2012-12-16,39
2012-12-17,31
2012-12-18,24
2012-12-19,18
2012-12-20,16
2012-12-21,14
2012-12-22,14
2012-12-23,14
2012-12-24,14
2012-12-25,13
2012-12-26,13
2012-12-27,13
2012-12-28,13
2012-12-29,13
2012-12-30,13
2012-12-31,13
2013-01-01,13
2013-01-02,13
2013-01-03,14
2013-01-04,14
2013-01-05,14
2013-01-06,14
2013-01-07,15
2013-01-08,14
2013-01-09,13
2013-01-10,17
2013-01-11,20
2013-01-12,21
2013-01-13,24
2013-01-14,28
2013-01-15,30
2013-01-16,32
2013-01-17,34
2013-01-18,37
2013-01-19,40
2013-01-20,39
2013-01-21,38
2013-01-22,44
2013-01-23,49
2013-01-24,46
2013-01-25,43
2013-01-26,42
2013-01-27,43
2013-01-28,44
2013-01-29,43
2013-01-30,48
2013-01-31,52
2013-02-01,53
2013-02-02,51
2013-02-03,45
2013-02-04,48
2013-02-05,44
2013-02-06,45
2013-02-07,46
2013-02-08,38
2013-02-09,38
2013-02-10,38
2013-02-11,38
2013-02-12,38
2013-02-13,45
2013-02-14,40
2013-02-15,42
2013-02-16,37
2013-02-17,36
2013-02-18,35
2013-02-19,31
2013-02-20,32
2013-02-21,34
2013-02-22,37
2013-02-23,37
2013-02-24,41
2013-02-25,44
2013-02-26,40
2013-02-27,43
2013-02-28,45
2013-03-01,41
2013-03-02,41
2013-03-03,38
2013-03-04,41
2013-03-05,41
2013-03-06,43
2013-03-07,40
2013-03-08,34
2013-03-09,29
2013-03-10,28
2013-03-11,25
2013-03-12,24
2013-03-13,24
2013-03-14,26
2013-03-15,29
2013-03-16,28
2013-03-17,28
2013-03-18,30
2013-03-19,31
2013-03-20,32
2013-03-21,33
2013-03-22,28
2013-03-23,25
2013-03-24,27
2013-03-25,33
2013-03-26,30
2013-03-27,28
2013-03-28,26
2013-03-29,24
2013-03-30,25
2013-03-31,26
2013-04-01,28
2013-04-02,25
2013-04-03,22
2013-04-04,26
2013-04-05,21
2013-04-06,22
2013-04-07,22
2013-04-08,27
2013-04-09,27
2013-04-10,20
2013-04-11,14
2013-04-12,10
