date,value
2012-08-20,4595415
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,4300380
2012-08-30,0
2012-08-31,0
2012-09-01,719172
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,4498879
2012-09-06,850023
2012-09-07,10616837
2012-09-08,2249383
2012-09-09,5491287
2012-09-10,17917394
2012-09-11,1065832
2012-09-12,5727888
2012-09-13,3584673
2012-09-14,3519491
2012-09-15,0
2012-09-16,9948735
2012-09-17,6278015
2012-09-18,826591
2012-09-19,16878538
2012-09-20,7855047
2012-09-21,9360016
2012-09-22,5840592
2012-09-23,6969024
2012-09-24,8542639
2012-09-25,8029387
2012-09-26,3971714
2012-09-27,1559553
2012-09-28,3205191
2012-09-29,1590228
2012-09-30,2383620
2012-10-01,5725358
2012-10-02,1303490
2012-10-03,0
2012-10-04,1976877
2012-10-05,1482466
2012-10-06,511222
2012-10-07,7714946
2012-10-08,4801506
2012-10-09,4077494
2012-10-10,4596842
2012-10-11,2832711
2012-10-12,4050317
2012-10-13,0
2012-10-14,5235262
2012-10-15,7529171
2012-10-16,622124
2012-10-17,2937612
2012-10-18,6744093
2012-10-19,7319467
2012-10-20,5213271
2012-10-21,4775905
2012-10-22,3648723
2012-10-23,7285150
2012-10-24,9230936
2012-10-25,2563170
2012-10-26,1918354
2012-10-27,0
2012-10-28,2624387
2012-10-29,0
2012-10-30,0
2012-10-31,8095079
2012-11-01,3866657
2012-11-02,3557759
2012-11-03,462499
2012-11-04,3530525
2012-11-05,9576293
2012-11-06,6713957
2012-11-07,3907003
2012-11-08,837021
2012-11-09,3924889
2012-11-10,4433734
2012-11-11,0
2012-11-12,8156450
2012-11-13,4583818
2012-11-14,7563583
2012-11-15,2690587
2012-11-16,6708287
2012-11-17,0
2012-11-18,0
2012-11-19,798800
2012-11-20,5638012
2012-11-21,2458753
2012-11-22,0
2012-11-23,0
2012-11-24,434882
2012-11-25,523406
2012-11-26,9301728
2012-11-27,8801568
2012-11-28,9671008
2012-11-29,1785349
2012-11-30,9412197
2012-12-01,0
2012-12-02,698621
2012-12-03,4494493
2012-12-04,1872188
2012-12-05,644160
2012-12-06,5144023
2012-12-07,1662838
2012-12-08,351157
2012-12-09,1050294
2012-12-10,1125335
2012-12-11,4563211
2012-12-12,8623258
2012-12-13,1009337
2012-12-14,797289
2012-12-15,2849333
2012-12-16,4555088
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,365649
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,2000884
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,48
2013-01-08,0
2013-01-09,2254803
2013-01-10,4523449
2013-01-11,1850625
2013-01-12,1047163
2013-01-13,1822913
2013-01-14,3790596
2013-01-15,9859338
2013-01-16,6680903
2013-01-17,2055108
2013-01-18,8475734
2013-01-19,2861745
2013-01-20,493790
2013-01-21,1993862
2013-01-22,14490804
2013-01-23,6672806
2013-01-24,5197757
2013-01-25,2974701
2013-01-26,2928857
2013-01-27,5602115
2013-01-28,3871005
2013-01-29,2237545
2013-01-30,6107538
2013-01-31,6913477
2013-02-01,3919
2013-02-02,0
2013-02-03,2082012
2013-02-04,4006038
2013-02-05,5807204
2013-02-06,6080953
2013-02-07,1488703
2013-02-08,0
2013-02-09,738890
2013-02-10,0
2013-02-11,198597
2013-02-12,0
2013-02-13,5929493
2013-02-14,5582561
2013-02-15,1622497
2013-02-16,183392
2013-02-17,1926769
2013-02-18,6199296
2013-02-19,4144404
2013-02-20,2005612
2013-02-21,4543772
2013-02-22,2382912
2013-02-23,3611953
2013-02-24,1554454
2013-02-25,2968461
2013-02-26,3199345
2013-02-27,3288631
2013-02-28,2203210
2013-03-01,2729987
2013-03-02,3200058
2013-03-03,473970
2013-03-04,8208501
2013-03-05,3533554
2013-03-06,3608548
2013-03-07,3054224
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,306706
2013-03-15,1769625
2013-03-16,1302519
2013-03-17,0
2013-03-18,657114
2013-03-19,727862
2013-03-20,1233442
2013-03-21,3627617
2013-03-22,666547
2013-03-23,0
2013-03-24,1093454
2013-03-25,5832106
2013-03-26,1428521
2013-03-27,1588670
2013-03-28,2326266
2013-03-29,948686
2013-03-30,1646637
2013-03-31,1032621
2013-04-01,1446189
2013-04-02,1279939
2013-04-03,73028
2013-04-04,2287725
2013-04-05,0
2013-04-06,1447075
2013-04-07,512825
2013-04-08,1377945
2013-04-09,666320
2013-04-10,311735
2013-04-11,188719
2013-04-12,0
2013-04-13,0
