date,value
2012-08-20,1
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,1
2012-08-30,0
2012-08-31,0
2012-09-01,1
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,5
2012-09-06,2
2012-09-07,6
2012-09-08,2
2012-09-09,4
2012-09-10,6
2012-09-11,2
2012-09-12,5
2012-09-13,4
2012-09-14,3
2012-09-15,0
2012-09-16,5
2012-09-17,3
2012-09-18,3
2012-09-19,6
2012-09-20,4
2012-09-21,8
2012-09-22,4
2012-09-23,5
2012-09-24,6
2012-09-25,3
2012-09-26,6
2012-09-27,3
2012-09-28,4
2012-09-29,1
2012-09-30,4
2012-10-01,5
2012-10-02,1
2012-10-03,0
2012-10-04,4
2012-10-05,2
2012-10-06,1
2012-10-07,4
2012-10-08,6
2012-10-09,5
2012-10-10,7
2012-10-11,4
2012-10-12,2
2012-10-13,0
2012-10-14,4
2012-10-15,4
2012-10-16,2
2012-10-17,2
2012-10-18,4
2012-10-19,3
2012-10-20,2
2012-10-21,2
2012-10-22,3
2012-10-23,4
2012-10-24,2
2012-10-25,3
2012-10-26,1
2012-10-27,0
2012-10-28,3
2012-10-29,0
2012-10-30,0
2012-10-31,5
2012-11-01,5
2012-11-02,3
2012-11-03,1
2012-11-04,5
2012-11-05,6
2012-11-06,5
2012-11-07,3
2012-11-08,2
2012-11-09,3
2012-11-10,2
2012-11-11,0
2012-11-12,6
2012-11-13,5
2012-11-14,7
2012-11-15,1
2012-11-16,5
2012-11-17,0
2012-11-18,0
2012-11-19,1
2012-11-20,1
2012-11-21,1
2012-11-22,0
2012-11-23,0
2012-11-24,1
2012-11-25,1
2012-11-26,8
2012-11-27,7
2012-11-28,8
2012-11-29,4
2012-11-30,5
2012-12-01,0
2012-12-02,1
2012-12-03,6
2012-12-04,4
2012-12-05,2
2012-12-06,2
2012-12-07,4
2012-12-08,1
2012-12-09,2
2012-12-10,3
2012-12-11,3
2012-12-12,5
2012-12-13,5
2012-12-14,3
2012-12-15,1
2012-12-16,3
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,1
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,1
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,1
2013-01-08,0
2013-01-09,1
2013-01-10,5
2013-01-11,3
2013-01-12,2
2013-01-13,3
2013-01-14,5
2013-01-15,5
2013-01-16,4
2013-01-17,4
2013-01-18,6
2013-01-19,3
2013-01-20,2
2013-01-21,1
2013-01-22,6
2013-01-23,8
2013-01-24,3
2013-01-25,3
2013-01-26,2
2013-01-27,5
2013-01-28,3
2013-01-29,4
2013-01-30,5
2013-01-31,7
2013-02-01,1
2013-02-02,0
2013-02-03,1
2013-02-04,6
2013-02-05,4
2013-02-06,4
2013-02-07,3
2013-02-08,0
2013-02-09,1
2013-02-10,0
2013-02-11,1
2013-02-12,0
2013-02-13,7
2013-02-14,4
2013-02-15,4
2013-02-16,1
2013-02-17,3
2013-02-18,3
2013-02-19,3
2013-02-20,3
2013-02-21,5
2013-02-22,3
2013-02-23,4
2013-02-24,5
2013-02-25,5
2013-02-26,3
2013-02-27,5
2013-02-28,6
2013-03-01,3
2013-03-02,2
2013-03-03,2
2013-03-04,8
2013-03-05,3
2013-03-06,7
2013-03-07,2
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,2
2013-03-15,3
2013-03-16,1
2013-03-17,0
2013-03-18,3
2013-03-19,2
2013-03-20,2
2013-03-21,3
2013-03-22,2
2013-03-23,0
2013-03-24,2
2013-03-25,9
2013-03-26,3
2013-03-27,3
2013-03-28,4
2013-03-29,3
2013-03-30,2
2013-03-31,0
2013-04-01,4
2013-04-02,3
2013-04-03,1
2013-04-04,5
2013-04-05,0
2013-04-06,3
2013-04-07,1
2013-04-08,7
2013-04-09,1
2013-04-10,0
2013-04-11,1
