date,value
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,1
2012-09-08,4
2012-09-09,1
2012-09-10,1
2012-09-11,1
2012-09-12,2
2012-09-13,2
2012-09-14,2
2012-09-15,1
2012-09-16,0
2012-09-17,3
2012-09-18,0
2012-09-19,3
2012-09-20,2
2012-09-21,3
2012-09-22,0
2012-09-23,0
2012-09-24,6
2012-09-25,5
2012-09-26,4
2012-09-27,3
2012-09-28,2
2012-09-29,1
2012-09-30,4
2012-10-01,8
2012-10-02,2
2012-10-03,3
2012-10-04,3
2012-10-05,5
2012-10-06,2
2012-10-07,3
2012-10-08,1
2012-10-09,1
2012-10-10,3
2012-10-11,5
2012-10-12,9
2012-10-13,1
2012-10-14,5
2012-10-15,3
2012-10-16,6
2012-10-17,6
2012-10-18,5
2012-10-19,4
2012-10-20,1
2012-10-21,2
2012-10-22,0
2012-10-23,4
2012-10-24,1
2012-10-25,3
2012-10-26,1
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,1
2012-10-31,6
2012-11-01,7
2012-11-02,3
2012-11-03,0
2012-11-04,3
2012-11-05,6
2012-11-06,3
2012-11-07,2
2012-11-08,7
2012-11-09,2
2012-11-10,1
2012-11-11,4
2012-11-12,5
2012-11-13,6
2012-11-14,4
2012-11-15,6
2012-11-16,5
2012-11-17,4
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,2
2012-11-26,4
2012-11-27,3
2012-11-28,4
2012-11-29,5
2012-11-30,2
2012-12-01,4
2012-12-02,2
2012-12-03,2
2012-12-04,3
2012-12-05,5
2012-12-06,3
2012-12-07,8
2012-12-08,2
2012-12-09,3
2012-12-10,3
2012-12-11,3
2012-12-12,9
2012-12-13,5
2012-12-14,7
2012-12-15,2
2012-12-16,8
2012-12-17,7
2012-12-18,6
2012-12-19,3
2012-12-20,2
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,1
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,1
2013-01-08,2
2013-01-09,1
2013-01-10,0
2013-01-11,1
2013-01-12,0
2013-01-13,1
2013-01-14,3
2013-01-15,2
2013-01-16,3
2013-01-17,3
2013-01-18,0
2013-01-19,3
2013-01-20,2
2013-01-21,0
2013-01-22,3
2013-01-23,6
2013-01-24,6
2013-01-25,3
2013-01-26,4
2013-01-27,2
2013-01-28,5
2013-01-29,0
2013-01-30,3
2013-01-31,0
2013-02-01,2
2013-02-02,7
2013-02-03,3
2013-02-04,8
2013-02-05,3
2013-02-06,2
2013-02-07,8
2013-02-08,1
2013-02-09,0
2013-02-10,1
2013-02-11,0
2013-02-12,0
2013-02-13,9
2013-02-14,2
2013-02-15,6
2013-02-16,4
2013-02-17,4
2013-02-18,7
2013-02-19,2
2013-02-20,3
2013-02-21,0
2013-02-22,4
2013-02-23,1
2013-02-24,2
2013-02-25,7
2013-02-26,2
2013-02-27,4
2013-02-28,7
2013-03-01,2
2013-03-02,5
2013-03-03,5
2013-03-04,3
2013-03-05,5
2013-03-06,5
2013-03-07,6
2013-03-08,5
2013-03-09,1
2013-03-10,3
2013-03-11,1
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,2
2013-03-16,0
2013-03-17,1
2013-03-18,1
2013-03-19,1
2013-03-20,2
2013-03-21,7
2013-03-22,3
2013-03-23,0
2013-03-24,3
2013-03-25,6
2013-03-26,5
2013-03-27,6
2013-03-28,5
2013-03-29,1
2013-03-30,0
2013-03-31,2
2013-04-01,6
2013-04-02,5
2013-04-03,1
2013-04-04,5
2013-04-05,3
2013-04-06,2
2013-04-07,3
2013-04-08,3
2013-04-09,9
2013-04-10,9
2013-04-11,4
2013-04-12,9
2013-04-13,1
