date,value
2012-08-20,7797
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,43662
2012-08-30,0
2012-08-31,0
2012-09-01,20308
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,55783
2012-09-06,25730
2012-09-07,84210
2012-09-08,35074
2012-09-09,28228
2012-09-10,113615
2012-09-11,28518
2012-09-12,64735
2012-09-13,68150
2012-09-14,28555
2012-09-15,0
2012-09-16,108288
2012-09-17,23557
2012-09-18,12531
2012-09-19,121129
2012-09-20,82269
2012-09-21,101181
2012-09-22,113117
2012-09-23,24227
2012-09-24,111495
2012-09-25,101998
2012-09-26,60647
2012-09-27,19370
2012-09-28,32358
2012-09-29,30786
2012-09-30,20902
2012-10-01,100089
2012-10-02,22863
2012-10-03,0
2012-10-04,17461
2012-10-05,15931
2012-10-06,17082
2012-10-07,76567
2012-10-08,50287
2012-10-09,73035
2012-10-10,106426
2012-10-11,28435
2012-10-12,44955
2012-10-13,0
2012-10-14,79030
2012-10-15,125751
2012-10-16,27263
2012-10-17,35732
2012-10-18,23684
2012-10-19,91561
2012-10-20,31633
2012-10-21,19283
2012-10-22,37294
2012-10-23,107869
2012-10-24,70587
2012-10-25,24130
2012-10-26,8783
2012-10-27,0
2012-10-28,47125
2012-10-29,0
2012-10-30,0
2012-10-31,81226
2012-11-01,58613
2012-11-02,78352
2012-11-03,22172
2012-11-04,41195
2012-11-05,181026
2012-11-06,69898
2012-11-07,60735
2012-11-08,16071
2012-11-09,86108
2012-11-10,52527
2012-11-11,0
2012-11-12,62703
2012-11-13,84752
2012-11-14,83395
2012-11-15,47713
2012-11-16,52041
2012-11-17,0
2012-11-18,0
2012-11-19,22672
2012-11-20,11497
2012-11-21,44443
2012-11-22,0
2012-11-23,0
2012-11-24,3030
2012-11-25,8109
2012-11-26,161895
2012-11-27,91820
2012-11-28,112386
2012-11-29,51751
2012-11-30,85580
2012-12-01,0
2012-12-02,14488
2012-12-03,74780
2012-12-04,37473
2012-12-05,16102
2012-12-06,34972
2012-12-07,43849
2012-12-08,11628
2012-12-09,17591
2012-12-10,32771
2012-12-11,34952
2012-12-12,39886
2012-12-13,47238
2012-12-14,10481
2012-12-15,13015
2012-12-16,11878
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,1280
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,3172
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,47
2013-01-08,0
2013-01-09,11634
2013-01-10,27323
2013-01-11,26650
2013-01-12,2935
2013-01-13,31238
2013-01-14,69131
2013-01-15,181250
2013-01-16,55562
2013-01-17,127656
2013-01-18,105552
2013-01-19,51475
2013-01-20,16472
2013-01-21,32988
2013-01-22,127758
2013-01-23,147033
2013-01-24,45014
2013-01-25,49141
2013-01-26,65923
2013-01-27,79827
2013-01-28,36636
2013-01-29,39908
2013-01-30,110989
2013-01-31,122418
2013-02-01,3206
2013-02-02,0
2013-02-03,75934
2013-02-04,66219
2013-02-05,73633
2013-02-06,62105
2013-02-07,25674
2013-02-08,0
2013-02-09,1336
2013-02-10,0
2013-02-11,11065
2013-02-12,5389
2013-02-13,134604
2013-02-14,50726
2013-02-15,61545
2013-02-16,6513
2013-02-17,40503
2013-02-18,137673
2013-02-19,61043
2013-02-20,60767
2013-02-21,58779
2013-02-22,9698
2013-02-23,21197
2013-02-24,56806
2013-02-25,84852
2013-02-26,70268
2013-02-27,46976
2013-02-28,33844
2013-03-01,56120
2013-03-02,82303
2013-03-03,28650
2013-03-04,134346
2013-03-05,45835
2013-03-06,86930
2013-03-07,29954
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,1358
2013-03-15,36943
2013-03-16,17776
2013-03-17,0
2013-03-18,40023
2013-03-19,4492
2013-03-20,16739
2013-03-21,141525
2013-03-22,30353
2013-03-23,0
2013-03-24,30023
2013-03-25,116807
2013-03-26,121378
2013-03-27,47344
2013-03-28,46907
2013-03-29,84759
2013-03-30,73642
2013-03-31,120585
2013-04-01,65675
2013-04-02,28786
2013-04-03,17787
2013-04-04,131095
2013-04-05,0
2013-04-06,39403
2013-04-07,30217
2013-04-08,64784
2013-04-09,75748
2013-04-10,51056
2013-04-11,15759
2013-04-12,20130
2013-04-13,6010
